%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.87,PRITAM SINGH,GURDASPUR,6,IND,M,PUNJAB,3483,412085,402451,563497,73.13
49.92,BALDEV PARKASH,AMRITSAR,1,BLD,M,PUNJAB,238020,484968,476813,674907,71.86
44.67,RAGHUNANDAN LAL,AMRITSAR,2,INC,M,PUNJAB,212979,484968,476813,674907,71.86
3.56,BARKAT MASIH,AMRITSAR,3,IND,M,PUNJAB,16985,484968,476813,674907,71.86
0.74,PIARA SINGH KARIR,AMRITSAR,4,IND,M,PUNJAB,3507,484968,476813,674907,71.86
0.57,JOGINDER PAL SINGH KUNDRA,AMRITSAR,5,IND,M,PUNJAB,2737,484968,476813,674907,71.86
0.54,RAVINDER KUMAR,AMRITSAR,6,IND,M,PUNJAB,2585,484968,476813,674907,71.86
56.89,MOHAN SINGH TUR,TARN TARAN,1,SAD,M,PUNJAB,257283,461527,452233,640514,72.06
39.21,GURDIAL SINGH DHILLON,TARN TARAN,2,INC,M,PUNJAB,177313,461527,452233,640514,72.06
1.86,JAGAT RAM,TARN TARAN,3,IND,M,PUNJAB,8412,461527,452233,640514,72.06
1.18,SHANGARA SINGH,TARN TARAN,4,IND,M,PUNJAB,5332,461527,452233,640514,72.06
0.86,BANTA SINGH,TARN TARAN,5,JMD,M,PUNJAB,3893,461527,452233,640514,72.06
62.13,IQBAL SINGH DHILLON,JULLUNDUR,1,SAD,M,PUNJAB,261558,427902,420954,592262,72.25
34.08,SWARAN SINGH,JULLUNDUR,2,INC,M,PUNJAB,143450,427902,420954,592262,72.25
1.98,JAGDISH SINGH,JULLUNDUR,3,ILP,M,PUNJAB,8351,427902,420954,592262,72.25
0.7,VINAY KUMAR SEHGAL,JULLUNDUR,4,IND,M,PUNJAB,2949,427902,420954,592262,72.25
0.42,RATTAN CHAND,JULLUNDUR,5,IND,M,PUNJAB,1770,427902,420954,592262,72.25
0.22,MUNSHI RAM,JULLUNDUR,6,IND,M,PUNJAB,941,427902,420954,592262,72.25
0.2,CHAKRADHARI JYOTISHI,JULLUNDUR,7,IND,M,PUNJAB,839,427902,420954,592262,72.25
0.18,AMAR NATH,JULLUNDUR,8,IND,M,PUNJAB,744,427902,420954,592262,72.25
0.08,MOHINDER KUMAR JAIN,JULLUNDUR,9,IND,M,PUNJAB,352,427902,420954,592262,72.25
61.06,BHAGAT RAM,PHILLAUR (SC),1,CPM,M,PUNJAB,276973,463858,453578,649304,71.44
28.21,GURCHARAN DASS,PHILLAUR (SC),2,INC,M,PUNJAB,127942,463858,453578,649304,71.44
5.38,MALKIT CHAND,PHILLAUR (SC),3,CPI,M,PUNJAB,24393,463858,453578,649304,71.44
1.95,CHARAN DASS,PHILLAUR (SC),4,ILP,M,PUNJAB,8840,463858,453578,649304,71.44
0.89,GURBAX,PHILLAUR (SC),5,IND,M,PUNJAB,4041,463858,453578,649304,71.44
0.89,CHARANJIT SINGH,PHILLAUR (SC),6,IND,M,PUNJAB,4034,463858,453578,649304,71.44
0.8,DALIP SINGH,PHILLAUR (SC),7,RPK,M,PUNJAB,3630,463858,453578,649304,71.44
0.46,MANOHAR LAL HEER,PHILLAUR (SC),8,IND,M,PUNJAB,2094,463858,453578,649304,71.44
0.36,RAM SARAN DASS,PHILLAUR (SC),9,IND,M,PUNJAB,1631,463858,453578,649304,71.44
61.95,BALBIR SINGH,HOSHIARPUR,1,BLD,M,PUNJAB,258731,427246,417651,626330,68.21
34.51,DARBARA SINGH,HOSHIARPUR,2,INC,M,PUNJAB,144114,427246,417651,626330,68.21
2.39,BHAGAT SINGH,HOSHIARPUR,3,IND,M,PUNJAB,9962,427246,417651,626330,68.21
0.82,KARNAIL SINGH,HOSHIARPUR,4,IND,M,PUNJAB,3411,427246,417651,626330,68.21
0.34,RAM DASS,HOSHIARPUR,5,IND,M,PUNJAB,1433,427246,417651,626330,68.21
57.35,BASANT SINGH,ROPAR (SC),1,SAD,M,PUNJAB,276418,491388,482007,637090,77.13
40.22,BUTA SINGH,ROPAR (SC),2,INC,M,PUNJAB,193846,491388,482007,637090,77.13
1.33,BALAKI RAM,ROPAR (SC),3,IND,M,PUNJAB,6421,491388,482007,637090,77.13
1.1,KAKA SINGH,ROPAR (SC),4,IND,M,PUNJAB,5322,491388,482007,637090,77.13
58.58,GURCHARAN SING TOHRA,PATIALA,1,SAD,M,PUNJAB,265111,462560,452576,606187,76.31
38.62,AMARENDER SINGH,PATIALA,2,INC,M,PUNJAB,174794,462560,452576,606187,76.31
0.68,GOPAL CHAND,PATIALA,3,IND,M,PUNJAB,3082,462560,452576,606187,76.31
0.59,ARJAN SINGH,PATIALA,4,IND,M,PUNJAB,2656,462560,452576,606187,76.31
0.48,SHER SINGH,PATIALA,5,IND,M,PUNJAB,2163,462560,452576,606187,76.31
0.43,MOHINDERPAL SINGH,PATIALA,6,IND,M,PUNJAB,1931,462560,452576,606187,76.31
0.38,GURDIP SINGH,PATIALA,7,IND,M,PUNJAB,1726,462560,452576,606187,76.31
0.25,SURESH KAPOOR,PATIALA,8,IND,M,PUNJAB,1113,462560,452576,606187,76.31
59.93,JAGDEV SINGH TALWANDI,LUDHIANA,1,SAD,M,PUNJAB,296119,502599,494149,665954,75.47
38.96,DEVINDER SINGH GARCHA,LUDHIANA,2,INC,M,PUNJAB,192525,502599,494149,665954,75.47
0.71,KIRPAL SINGH GHURANI,LUDHIANA,3,IND,M,PUNJAB,3530,502599,494149,665954,75.47
0.4,SURJIT SINGH,LUDHIANA,4,JMD,M,PUNJAB,1975,502599,494149,665954,75.47
64.55,SURJIT SINGH,SANGRUR,1,SAD,M,PUNJAB,291371,462873,451391,622238,74.39
27.99,RANJIT SINGH,SANGRUR,2,INC,M,PUNJAB,126322,462873,451391,622238,74.39
2.12,RACHPAL SINGH,SANGRUR,3,IND,M,PUNJAB,9552,462873,451391,622238,74.39
2.08,KAPURA RAM,SANGRUR,4,IND,M,PUNJAB,9409,462873,451391,622238,74.39
1.71,MIT SINGH,SANGRUR,5,IND,M,PUNJAB,7735,462873,451391,622238,74.39
0.84,KARTAR SINGH,SANGRUR,6,IND,M,PUNJAB,3793,462873,451391,622238,74.39
0.71,AMAR SINGH,SANGRUR,7,IND,M,PUNJAB,3209,462873,451391,622238,74.39
61.83,DHANNA SINGH,BHATINDA (SC),1,SAD,M,PUNJAB,262864,435035,425144,607613,71.6
20.59,GULZAR SINGH,BHATINDA (SC),2,INC,M,PUNJAB,87553,435035,425144,607613,71.6
